,REF_DATE,GEO,Before-tax household income quintile,"Household expenditures, summary-level categories",COORDINATE,Expense,Family type,Age of older adult,Family income,Income
2340,2011,Province 10,Highest quintile,Household furnishings and equipment,C1015,3080.0,Couple families,55 to 64 years,"$60,000 and over",6640.0
2341,2011,Province 10,Highest quintile,Household furnishings,C1016,1139.0,Couple families,55 to 64 years,"$70,000 and over",5800.0
2342,2011,Province 10,Highest quintile,Household equipment,C1017,1787.0,Couple families,55 to 64 years,"$75,000 and over",5370.0
2343,2011,Province 10,Highest quintile,Household appliances,C1018,698.0,Couple families,55 to 64 years,"$80,000 and over",4920.0
2344,2011,Province 10,Highest quintile,Clothing and accessories,C1019,6283.0,Couple families,55 to 64 years,"$90,000 and over",4080.0
2345,2011,Province 10,Highest quintile,Transportation,C1020,17109.0,Couple families,55 to 64 years,Median total income,82330.0
2346,2011,Province 11,All quintiles,Total expenditure,C1021,71310.0,Couple families,Total all ages,All income groups,184610.0
2350,2011,Province 11,All quintiles,Principal accommodation,C1025,12033.0,Couple families,Total all ages,"$20,000 and over",180380.0
2353,2011,Province 11,All quintiles,"Water, fuel and electricity for principal accommodation",C1028,2753.0,Couple families,Total all ages,"$35,000 and over",167260.0
2355,2011,Province 11,All quintiles,Household operations,C1030,3838.0,Couple families,Total all ages,"$45,000 and over",154440.0
2357,2011,Province 11,All quintiles,Household furnishings and equipment,C1032,2375.0,Couple families,Total all ages,"$60,000 and over",132580.0
2359,2011,Province 11,All quintiles,Household equipment,C1034,1352.0,Couple families,Total all ages,"$75,000 and over",107910.0
2360,2011,Province 11,All quintiles,Household appliances,C1035,472.0,Couple families,Total all ages,"$80,000 and over",99610.0
2361,2011,Province 11,All quintiles,Clothing and accessories,C1036,3071.0,Couple families,Total all ages,"$90,000 and over",83460.0
2364,2011,Province 11,Lowest quintile,Food purchased from stores,C1039,3200.0,Couple families,0 to 24 years,"Under $10,000",110.0
2366,2011,Province 11,Lowest quintile,Shelter,C1041,8120.0,Couple families,0 to 24 years,"$15,000 and over",3020.0
2368,2011,Province 11,Lowest quintile,Rented living quarters,C1043,5024.0,Couple families,0 to 24 years,"$25,000 and over",2520.0
2370,2011,Province 11,Lowest quintile,"Water, fuel and electricity for principal accommodation",C1045,1675.0,Couple families,0 to 24 years,"$35,000 and over",1970.0
2376,2011,Province 11,Lowest quintile,Household equipment,C1051,291.0,Couple families,0 to 24 years,"$75,000 and over",360.0
2377,2011,Province 11,Lowest quintile,Household appliances,C1052,71.0,Couple families,0 to 24 years,"$80,000 and over",270.0
2379,2011,Province 11,Lowest quintile,Transportation,C1054,4173.0,Couple families,0 to 24 years,Median total income,40670.0
2380,2011,Province 11,Second quintile,Total expenditure,C1055,44120.0,Couple families,25 to 34 years,All income groups,28880.0
2382,2011,Province 11,Second quintile,Food purchased from restaurants,C1057,1889.0,Couple families,25 to 34 years,"$10,000 and over",28470.0
2383,2011,Province 11,Second quintile,Shelter,C1058,10664.0,Couple families,25 to 34 years,"$15,000 and over",28200.0
2385,2011,Province 11,Second quintile,Rented living quarters,C1060,3367.0,Couple families,25 to 34 years,"$25,000 and over",27390.0
2388,2011,Province 11,Second quintile,Other accommodation,C1063,626.0,Couple families,25 to 34 years,"$40,000 and over",25500.0
2390,2011,Province 11,Second quintile,Communications,C1065,1567.0,Couple families,25 to 34 years,"$50,000 and over",23410.0
2391,2011,Province 11,Second quintile,Household furnishings and equipment,C1066,1365.0,Couple families,25 to 34 years,"$60,000 and over",20740.0
2392,2011,Province 11,Second quintile,Household furnishings,C1067,498.0,Couple families,25 to 34 years,"$70,000 and over",17480.0
2393,2011,Province 11,Second quintile,Household equipment,C1068,793.0,Couple families,25 to 34 years,"$75,000 and over",15690.0
2397,2011,Province 11,Third quintile,Total expenditure,C1072,61295.0,Couple families,35 to 44 years,All income groups,33960.0
2398,2011,Province 11,Third quintile,Food purchased from stores,C1073,5616.0,Couple families,35 to 44 years,"Under $10,000",360.0
2402,2011,Province 11,Third quintile,Rented living quarters,C1077,2775.0,Couple families,35 to 44 years,"$25,000 and over",32790.0
2404,2011,Province 11,Third quintile,"Water, fuel and electricity for principal accommodation",C1079,2870.0,Couple families,35 to 44 years,"$35,000 and over",32040.0
2405,2011,Province 11,Third quintile,Other accommodation,C1080,781.0,Couple families,35 to 44 years,"$40,000 and over",31530.0
2406,2011,Province 11,Third quintile,Household operations,C1081,3531.0,Couple families,35 to 44 years,"$45,000 and over",30890.0
2407,2011,Province 11,Third quintile,Communications,C1082,1936.0,Couple families,35 to 44 years,"$50,000 and over",30200.0
2408,2011,Province 11,Third quintile,Household furnishings and equipment,C1083,1859.0,Couple families,35 to 44 years,"$60,000 and over",28350.0
2409,2011,Province 11,Third quintile,Household furnishings,C1084,822.0,Couple families,35 to 44 years,"$70,000 and over",25970.0
2411,2011,Province 11,Third quintile,Household appliances,C1086,356.0,Couple families,35 to 44 years,"$80,000 and over",22960.0
2414,2011,Province 11,Fourth quintile,Total expenditure,C1089,87818.0,Couple families,45 to 54 years,All income groups,38740.0
2416,2011,Province 11,Fourth quintile,Food purchased from restaurants,C1091,2276.0,Couple families,45 to 54 years,"$10,000 and over",38480.0
2417,2011,Province 11,Fourth quintile,Shelter,C1092,14736.0,Couple families,45 to 54 years,"$15,000 and over",38350.0
2418,2011,Province 11,Fourth quintile,Principal accommodation,C1093,13254.0,Couple families,45 to 54 years,"$20,000 and over",38100.0
2420,2011,Province 11,Fourth quintile,Owned living quarters,C1095,8344.0,Couple families,45 to 54 years,"$30,000 and over",37510.0
2421,2011,Province 11,Fourth quintile,"Water, fuel and electricity for principal accommodation",C1096,3152.0,Couple families,45 to 54 years,"$35,000 and over",37110.0
2424,2011,Province 11,Fourth quintile,Communications,C1099,2248.0,Couple families,45 to 54 years,"$50,000 and over",35220.0
2427,2011,Province 11,Fourth quintile,Household equipment,C1102,2677.0,Couple families,45 to 54 years,"$75,000 and over",29740.0
2431,2011,Province 11,Highest quintile,Total expenditure,C1106,135461.0,Couple families,55 to 64 years,All income groups,38900.0
2433,2011,Province 11,Highest quintile,Food purchased from restaurants,C1108,3828.0,Couple families,55 to 64 years,"$10,000 and over",38730.0
2435,2011,Province 11,Highest quintile,Principal accommodation,C1110,16926.0,Couple families,55 to 64 years,"$20,000 and over",38080.0
2437,2011,Province 11,Highest quintile,Owned living quarters,C1112,12411.0,Couple families,55 to 64 years,"$30,000 and over",37120.0
2441,2011,Province 11,Highest quintile,Communications,C1116,2442.0,Couple families,55 to 64 years,"$50,000 and over",33090.0
2446,2011,Province 11,Highest quintile,Clothing and accessories,C1121,6059.0,Couple families,55 to 64 years,"$90,000 and over",19680.0
2452,2011,Province 12,All quintiles,Principal accommodation,C1127,16376.0,Couple families,Total all ages,"$20,000 and over",44540.0
2454,2011,Province 12,All quintiles,Owned living quarters,C1129,9990.0,Couple families,Total all ages,"$30,000 and over",41740.0
2456,2011,Province 12,All quintiles,Other accommodation,C1131,2286.0,Couple families,Total all ages,"$40,000 and over",36960.0
2457,2011,Province 12,All quintiles,Household operations,C1132,4646.0,Couple families,Total all ages,"$45,000 and over",34750.0
2458,2011,Province 12,All quintiles,Communications,C1133,2192.0,Couple families,Total all ages,"$50,000 and over",32690.0
2461,2011,Province 12,All quintiles,Household equipment,C1136,1140.0,Couple families,Total all ages,"$75,000 and over",21630.0
2463,2011,Province 12,All quintiles,Clothing and accessories,C1138,4054.0,Couple families,Total all ages,"$90,000 and over",15920.0
2464,2011,Province 12,All quintiles,Transportation,C1139,13762.0,Couple families,Total all ages,Median total income,71450.0
2465,2011,Province 12,Lowest quintile,Total expenditure,C1140,38057.0,Couple families,0 to 24 years,All income groups,1190.0
2469,2011,Province 12,Lowest quintile,Principal accommodation,C1144,10537.0,Couple families,0 to 24 years,"$20,000 and over",980.0
2470,2011,Province 12,Lowest quintile,Rented living quarters,C1145,5075.0,Couple families,0 to 24 years,"$25,000 and over",870.0
2472,2011,Province 12,Lowest quintile,"Water, fuel and electricity for principal accommodation",C1147,1871.0,Couple families,0 to 24 years,"$35,000 and over",630.0
2473,2011,Province 12,Lowest quintile,Other accommodation,C1148,,Couple families,0 to 24 years,"$40,000 and over",500.0
2475,2011,Province 12,Lowest quintile,Communications,C1150,1220.0,Couple families,0 to 24 years,"$50,000 and over",300.0
2476,2011,Province 12,Lowest quintile,Household furnishings and equipment,C1151,888.0,Couple families,0 to 24 years,"$60,000 and over",180.0
2480,2011,Province 12,Lowest quintile,Clothing and accessories,C1155,1915.0,Couple families,0 to 24 years,"$90,000 and over",40.0
2483,2011,Province 12,Second quintile,Food purchased from stores,C1158,5160.0,Couple families,25 to 34 years,"Under $10,000",170.0
2484,2011,Province 12,Second quintile,Food purchased from restaurants,C1159,1833.0,Couple families,25 to 34 years,"$10,000 and over",6980.0
2485,2011,Province 12,Second quintile,Shelter,C1160,15547.0,Couple families,25 to 34 years,"$15,000 and over",6870.0
2491,2011,Province 12,Second quintile,Household operations,C1166,3985.0,Couple families,25 to 34 years,"$45,000 and over",5420.0
2492,2011,Province 12,Second quintile,Communications,C1167,1845.0,Couple families,25 to 34 years,"$50,000 and over",5080.0
2493,2011,Province 12,Second quintile,Household furnishings and equipment,C1168,1824.0,Couple families,25 to 34 years,"$60,000 and over",4240.0
2495,2011,Province 12,Second quintile,Household equipment,C1170,980.0,Couple families,25 to 34 years,"$75,000 and over",2900.0
2497,2011,Province 12,Second quintile,Clothing and accessories,C1172,2989.0,Couple families,25 to 34 years,"$90,000 and over",1820.0
2498,2011,Province 12,Second quintile,Transportation,C1173,10244.0,Couple families,25 to 34 years,Median total income,67720.0
2502,2011,Province 12,Third quintile,Shelter,C1177,18202.0,Couple families,35 to 44 years,"$15,000 and over",7900.0
2504,2011,Province 12,Third quintile,Rented living quarters,C1179,3468.0,Couple families,35 to 44 years,"$25,000 and over",7700.0
2505,2011,Province 12,Third quintile,Owned living quarters,C1180,10170.0,Couple families,35 to 44 years,"$30,000 and over",7530.0
2506,2011,Province 12,Third quintile,"Water, fuel and electricity for principal accommodation",C1181,2906.0,Couple families,35 to 44 years,"$35,000 and over",7380.0
2507,2011,Province 12,Third quintile,Other accommodation,C1182,,Couple families,35 to 44 years,"$40,000 and over",7190.0
2511,2011,Province 12,Third quintile,Household furnishings,C1186,938.0,Couple families,35 to 44 years,"$70,000 and over",5300.0
2513,2011,Province 12,Third quintile,Household appliances,C1188,474.0,Couple families,35 to 44 years,"$80,000 and over",4450.0
2516,2011,Province 12,Fourth quintile,Total expenditure,C1191,105330.0,Couple families,45 to 54 years,All income groups,9360.0
2519,2011,Province 12,Fourth quintile,Shelter,C1194,21243.0,Couple families,45 to 54 years,"$15,000 and over",9230.0
2520,2011,Province 12,Fourth quintile,Principal accommodation,C1195,19252.0,Couple families,45 to 54 years,"$20,000 and over",9120.0
2521,2011,Province 12,Fourth quintile,Rented living quarters,C1196,2716.0,Couple families,45 to 54 years,"$25,000 and over",9010.0
2523,2011,Province 12,Fourth quintile,"Water, fuel and electricity for principal accommodation",C1198,3680.0,Couple families,45 to 54 years,"$35,000 and over",8670.0
2530,2011,Province 12,Fourth quintile,Household appliances,C1205,671.0,Couple families,45 to 54 years,"$80,000 and over",5760.0
2532,2011,Province 12,Fourth quintile,Transportation,C1207,17813.0,Couple families,45 to 54 years,Median total income,94370.0
2533,2011,Province 12,Highest quintile,Total expenditure,C1208,160661.0,Couple families,55 to 64 years,All income groups,9700.0
2534,2011,Province 12,Highest quintile,Food purchased from stores,C1209,7943.0,Couple families,55 to 64 years,"Under $10,000",90.0
2536,2011,Province 12,Highest quintile,Shelter,C1211,26838.0,Couple families,55 to 64 years,"$15,000 and over",9500.0
2538,2011,Province 12,Highest quintile,Rented living quarters,C1213,,Couple families,55 to 64 years,"$25,000 and over",9090.0
2540,2011,Province 12,Highest quintile,"Water, fuel and electricity for principal accommodation",C1215,4047.0,Couple families,55 to 64 years,"$35,000 and over",8590.0
2545,2011,Province 12,Highest quintile,Household furnishings,C1220,1983.0,Couple families,55 to 64 years,"$70,000 and over",5470.0
2548,2011,Province 12,Highest quintile,Clothing and accessories,C1223,7023.0,Couple families,55 to 64 years,"$90,000 and over",3740.0
2549,2011,Province 12,Highest quintile,Transportation,C1224,21301.0,Couple families,55 to 64 years,Median total income,77040.0
2550,2011,Province 13,All quintiles,Total expenditure,C1225,75196.0,Couple families,Total all ages,All income groups,35170.0
2553,2011,Province 13,All quintiles,Shelter,C1228,16624.0,Couple families,Total all ages,"$15,000 and over",34680.0
2556,2011,Province 13,All quintiles,Owned living quarters,C1231,9797.0,Couple families,Total all ages,"$30,000 and over",31930.0
2557,2011,Province 13,All quintiles,"Water, fuel and electricity for principal accommodation",C1232,1914.0,Couple families,Total all ages,"$35,000 and over",29960.0
2558,2011,Province 13,All quintiles,Other accommodation,C1233,1376.0,Couple families,Total all ages,"$40,000 and over",28160.0
2559,2011,Province 13,All quintiles,Household operations,C1234,4443.0,Couple families,Total all ages,"$45,000 and over",26400.0
2560,2011,Province 13,All quintiles,Communications,C1235,1948.0,Couple families,Total all ages,"$50,000 and over",24690.0
2562,2011,Province 13,All quintiles,Household furnishings,C1237,801.0,Couple families,Total all ages,"$70,000 and over",18020.0
